n,input_fft_mag,output_freq,
816,85.9140853881836,7968.75,
817,148.36228942871094,7978.515625,
818,530.4287109375,7988.28125,
819,65.19978332519531,7998.046875,
820,169.36473083496094,8007.8125,
821,120.7576675415039,8017.578125,
822,87.04122924804688,8027.34375,
823,20.853717803955078,8037.109375,
824,153.74171447753906,8046.875,
825,106.7192153930664,8056.640625,
826,112.33384704589844,8066.40625,
827,66.0979995727539,8076.171875,
828,142.22877502441406,8085.9375,
829,130.62625122070312,8095.703125,
830,91.21768188476562,8105.46875,
831,116.26092529296875,8115.234375,
832,178.90414428710938,8125.0,
833,187.00796508789062,8134.765625,
834,140.46775817871094,8144.53125,
835,136.97915649414062,8154.296875,
836,126.85352325439453,8164.0625,
