n,adc_buffer
935,0.4659571349620819
936,0.5956896543502808
937,0.7114188075065613
938,0.8104572296142578
939,0.8904320001602173
940,0.949528157711029
941,0.9862895011901855
942,0.9999247193336487
943,0.990039587020874
944,0.9569437503814697
945,0.9013370871543884
946,0.8245960474014282
947,0.7284506559371948
948,0.6152315735816956
949,0.48754099011421204
950,0.3484186828136444
951,0.20110085606575012
952,0.0490676686167717
953,-0.104119673371315
954,-0.2548540532588959
955,-0.3996056914329529
956,-0.5349875092506409
957,-0.6577943563461304
958,-0.7651672959327698
959,-0.8545418977737427
960,-0.9238795042037964
961,-0.9714856147766113
