n,input_signal,filtered_signal,output_freq,input_fft_mag,filtered_fft_mag,
1815,-0.4987053871154785,3.530043601989746,0.23355013132095337,0.4250330626964569,6328.0,
1816,1.1555867195129395,0.5896697640419006,0.5151690244674683,0.4244559705257416,6336.0,
1817,-0.4939689636230469,3.577409267425537,0.2345704436302185,0.4238937199115753,6344.0,
1818,1.1544885635375977,0.6704221963882446,0.5391426086425781,0.4233408570289612,6352.0,
1819,-0.4880228042602539,3.622469186782837,0.23575592041015625,0.4228004515171051,6360.0,
1820,1.1527847051620483,0.753951907157898,0.5429181456565857,0.42229247093200684,6368.0,
1821,-0.4829714298248291,3.6647257804870605,0.23690581321716309,0.42180100083351135,6376.0,
1822,1.1514509916305542,0.8408154249191284,0.5437986850738525,0.4213440716266632,6384.0,
1823,-0.4781157970428467,3.704249858856201,0.23805785179138184,0.4208955764770508,6392.0,
1824,1.1502845287322998,0.930707573890686,0.5437101125717163,0.42048025131225586,6400.0,
1825,-0.472456693649292,3.7409815788269043,0.23920750617980957,0.420106440782547,6408.0,
1826,1.1483359336853027,1.0232391357421875,0.5431718826293945,0.4197433888912201,6416.0,
1827,-0.4667644500732422,3.7747962474823,0.24035722017288208,0.41943928599357605,6424.0,
1828,1.1467244625091553,1.1184606552124023,0.542391836643219,0.419152170419693,6432.0,
1829,-0.4619321823120117,3.8048062324523926,0.24151653051376343,0.4189039170742035,6440.0,
1830,1.1451175212860107,1.2162559032440186,0.5414714217185974,0.4186725914478302,6448.0,
1831,-0.45700812339782715,3.8315460681915283,0.24267297983169556,0.41850948333740234,6456.0,
1832,1.1439683437347412,1.3165113925933838,0.5404580235481262,0.4183579683303833,6464.0,
1833,-0.45206117630004883,3.854556083679199,0.24384599924087524,0.4182726740837097,6472.0,
1834,1.1423883438110352,1.4193037748336792,0.5393837094306946,0.41811251640319824,6480.0,
1835,-0.44673824310302734,3.8736984729766846,0.24504023790359497,0.4180796146392822,6488.0,
1836,1.1411564350128174,1.5245730876922607,0.5382471084594727,0.4180591404438019,6496.0,
1837,-0.44029712677001953,3.8890092372894287,0.24624836444854736,0.41805437207221985,6504.0,
1838,1.1395914554595947,1.6308996677398682,0.537082314491272,0.41808000206947327,6512.0,
1839,-0.436382532119751,3.899911403656006,0.24746978282928467,0.4181273579597473,6520.0,
1840,1.1377261877059937,1.7389129400253296,0.5358898639678955,0.41819608211517334,6528.0,
1841,-0.43200230598449707,3.906806468963623,0.2487054467201233,0.418280690908432,6536.0,
1842,1.1373021602630615,1.8492331504821777,0.5346759557723999,0.41835546493530273,6544.0,
1843,-0.4262111186981201,3.908754587173462,0.2499544620513916,0.4185034930706024,6552.0,
1844,1.1351171731948853,1.96091628074646,0.5334522128105164,0.4186328053474426,6560.0,
1845,-0.4207991361618042,3.906792640686035,0.25121474266052246,0.41877061128616333,6568.0,
1846,1.13322913646698,2.0735347270965576,0.53221595287323,0.4189070165157318,6576.0,
1847,-0.41608691215515137,3.9002065658569336,0.2524924874305725,0.4190404713153839,6584.0,
1848,1.132412075996399,2.1869354248046875,0.5309869050979614,0.4192362129688263,6592.0,
