n,input_signal,output_freq,output_fft_mag
394,-1.540055382065475e-05,3152.0,2.757497350103222e-05
395,-7.692577128182165e-06,3160.0,2.106385727529414e-05
396,3.978133463533595e-06,3168.0,4.0379036363447085e-05
397,2.1290798031259328e-05,3176.0,5.264940409688279e-05
398,-8.455925126327202e-06,3184.0,9.127781595452689e-06
399,8.60752334119752e-06,3192.0,2.4327538994839415e-05
400,-2.327858965145424e-05,3200.0,6.496334390249103e-05
401,-4.3575411837082356e-05,3208.0,3.314237983431667e-05
402,5.53721547476016e-05,3216.0,0.00011169989011250436
403,-3.416933395783417e-05,3224.0,3.235516487620771e-05
404,3.10908435494639e-05,3232.0,6.799520633649081e-05
405,2.853839032468386e-05,3240.0,5.5602762586204335e-05
406,-1.6530510038137436e-05,3248.0,6.890969234518707e-05
407,1.5618366887792945e-05,3256.0,5.845278428751044e-05
408,-8.679940947331488e-06,3264.0,0.00012191336281830445
409,4.631394403986633e-05,3272.0,3.286193896201439e-05
410,-1.5506549971178174e-05,3280.0,0.00022132582671474665
411,-2.9677143174922094e-05,3288.0,0.00014477819786407053
412,3.0517578125e-05,3296.0,4.564400660456158e-05
413,-7.62939453125e-05,3304.0,8.086333400569856e-05
414,8.434190385742113e-05,3312.0,0.00022939096379559487
415,-1.1740587069652975e-05,3320.0,8.293410064652562e-05
416,-1.0134259355254471e-05,3328.0,0.00018963661568704993
417,5.523755680769682e-05,3336.0,3.560576442396268e-05
418,-4.902174259768799e-05,3344.0,3.988520984421484e-05
419,-6.438232958316803e-06,3352.0,0.00013367593055590987
420,4.391215043142438e-06,3360.0,1.6997706552501768e-05
421,-4.40832955064252e-05,3368.0,6.781677075196058e-05
422,1.1178679415024817e-05,3376.0,3.868818748742342e-05
423,-1.8136517610400915e-05,3384.0,2.1202773496042937e-05
424,8.690136019140482e-05,3392.0,4.6177276090020314e-05
425,1.5991536201909184e-05,3400.0,4.1547038563294336e-05
426,-2.9800630727550015e-05,3408.0,0.00010409528476884589
427,-8.971060742624104e-05,3416.0,3.050095256185159e-05
428,0.00019781722221523523,3424.0,1.8637851098901592e-05
429,-2.708974716369994e-05,3432.0,5.085182056063786e-05
430,0.00015725106641184539,3440.0,9.204589332512114e-06
431,0.00015046243788674474,3448.0,5.896307993680239e-05
432,-0.0001064916214090772,3456.0,8.164210885297507e-05
433,4.924968015984632e-05,3464.0,7.535799795732601e-06
434,2.7605448849499226e-05,3472.0,9.799550025491044e-05
435,2.4751356249907985e-05,3480.0,7.086990081006661e-05
436,9.53448079599184e-07,3488.0,9.330446482636034e-05
437,8.12296275398694e-06,3496.0,6.180709897307679e-05
438,3.282430043327622e-05,3504.0,5.2975909056840464e-05
439,2.7326814233674668e-05,3512.0,0.0001031096835504286
440,7.843766070436686e-06,3520.0,7.266584725584835e-05
441,6.353699427563697e-05,3528.0,7.048099359963089e-05
442,-5.716020314139314e-05,3536.0,0.00016507609689142555
443,-1.3042354112258181e-05,3544.0,8.156977128237486e-05
444,-5.940695700701326e-06,3552.0,0.00022981350775808096
445,1.9081482605542988e-05,3560.0,0.000814642000477761
446,3.05785724776797e-05,3568.0,0.0003193242009729147
447,-4.189484752714634e-05,3576.0,0.0002230295940535143
448,2.677279553608969e-05,3584.0,0.0006134643335826695
449,-3.654240572359413e-07,3592.0,0.00024085320183075964
450,9.199490887112916e-05,3600.0,0.00015131084364838898
451,8.666925714351237e-05,3608.0,0.0001710043870843947
452,-6.91268069203943e-05,3616.0,8.667797374073416e-05
453,2.2144982722238638e-05,3624.0,7.919429481262341e-05
454,-6.399405538104475e-05,3632.0,0.0001035660388879478
455,-5.1189046644140035e-05,3640.0,6.192948058014736e-05
456,7.1522212238051e-05,3648.0,1.2941471140948124e-05
457,-1.6421017789980397e-06,3656.0,0.00014107360038906336
458,3.1586991099175066e-05,3664.0,5.758982297265902e-05
459,-2.0401044821483083e-05,3672.0,4.179185998509638e-05
460,5.7386547268833965e-05,3680.0,8.932494529290125e-05
461,4.306279151933268e-05,3688.0,5.911945481784642e-05
462,-1.2181051715742797e-05,3696.0,2.9282022296683863e-05
463,4.7947287384886295e-05,3704.0,2.2031594198779203e-05
464,-5.139895438333042e-05,3712.0,4.1430568671785295e-05
465,1.7540805856697261e-06,3720.0,2.537717591621913e-05
466,1.8934910258394666e-05,3728.0,2.8715934604406357e-05
467,-4.2061361455125734e-05,3736.0,6.740929529769346e-05
468,5.886085273232311e-05,3744.0,4.203208663966507e-05
469,-1.9301296561025083e-07,3752.0,7.065539102768525e-05
470,4.498535781749524e-05,3760.0,6.73138492857106e-05
471,5.2241266530472785e-06,3768.0,3.644234311650507e-05
472,5.0236674724146724e-05,3776.0,5.293379581416957e-05
473,1.2727805369650014e-06,3784.0,8.584718307247385e-05
474,-2.5620480300858617e-05,3792.0,4.342801184975542e-05
475,9.130520629696548e-05,3800.0,0.00010442882194183767
476,-3.4372686059214175e-05,3808.0,0.0002506517630536109
